iter	Passed	Remaining
401	17288	25717
402	17325	25666
403	17366	25619
404	17405	25570
405	17444	25521
406	17485	25476
407	17526	25430
408	17567	25384
409	17608	25338
410	17647	25290
411	17682	25235
412	17720	25186
413	17758	25136
414	17799	25091
415	17839	25043
416	17879	24997
417	17922	24953
418	17965	24912
419	18005	24864
420	18045	24817
421	18087	24773
422	18130	24731
423	18171	24686
424	18215	24644
425	18256	24599
426	18295	24551
427	18331	24498
428	18371	24452
429	18411	24405
430	18455	24364
431	18492	24314
432	18530	24265
433	18572	24221
434	18614	24177
435	18652	24128
436	18695	24086
437	18738	24042
438	18777	23995
439	18816	23948
440	18856	23902
441	18895	23853
442	18942	23817
443	18981	23770
444	19023	23725
445	19061	23677
446	19101	23631
447	19143	23587
448	19181	23538
449	19226	23498
450	19263	23449
451	19306	23407
452	19346	23360
453	19386	23315
454	19427	23270
455	19466	23223
456	19506	23177
457	19545	23129
458	19589	23089
459	19628	23041
460	19666	22993
461	19708	22950
462	19754	22912
463	19793	22865
464	19833	22819
465	19871	22771
466	19910	22724
467	19956	22685
468	19997	22641
469	20038	22596
470	20081	22554
471	20127	22515
472	20170	22473
473	20211	22429
474	20250	22382
475	20288	22334
476	20333	22294
477	20371	22246
478	20413	22202
479	20450	22154
480	20492	22111
481	20533	22066
482	20577	22026
483	20613	21976
484	20654	21931
485	20696	21889
486	20733	21840
487	20776	21798
488	20820	21757
489	20860	21711
490	20901	21667
491	20945	21626
492	20983	21579
493	21021	21532
494	21058	21484
495	21102	21442
496	21140	21395
497	21178	21348
498	21217	21302
499	21257	21257
500	21298	21213
501	21335	21165
502	21376	21121
503	21421	21081
504	21461	21036
505	21503	20993
506	21543	20948
507	21582	20902
508	21621	20857
509	21658	20809
510	21699	20765
511	21737	20718
512	21780	20676
513	21821	20632
514	21861	20587
515	21905	20546
516	21943	20500
517	21982	20454
518	22022	20409
519	22065	20367
520	22101	20319
521	22148	20281
522	22188	20236
523	22228	20192
524	22275	20153
525	22313	20107
526	22351	20060
527	22387	20013
528	22429	19970
529	22466	19922
530	22508	19880
531	22546	19834
532	22585	19789
533	22628	19747
534	22667	19701
535	22703	19654
536	22744	19610
537	22786	19567
538	22831	19527
539	22875	19486
540	22915	19441
541	22954	19396
542	22991	19350
543	23029	19303
544	23068	19259
545	23106	19212
546	23146	19168
547	23185	19123
548	23221	19076
549	23262	19033
550	23309	18994
551	23352	18952
552	23396	18911
553	23435	18866
554	23478	18825
555	23523	18784
556	23562	18740
557	23604	18697
558	23647	18655
559	23686	18610
560	23722	18563
561	23763	18520
562	23807	18479
563	23847	18435
564	23894	18396
565	23937	18355
566	23969	18305
567	24009	18260
568	24050	18217
569	24087	18171
570	24130	18129
571	24168	18084
572	24209	18041
573	24245	17993
574	24288	17952
575	24330	17909
576	24370	17866
577	24409	17821
578	24446	17775
579	24484	17729
580	24525	17687
581	24564	17642
582	24605	17599
583	24650	17559
584	24683	17510
585	24720	17464
586	24758	17419
587	24795	17373
588	24833	17328
589	24874	17285
590	24918	17244
591	24959	17201
592	24998	17157
593	25036	17112
594	25079	17070
595	25120	17028
596	25160	16984
597	25197	16939
598	25239	16896
599	25279	16852
600	25323	16812
601	25366	16770
602	25407	16727
603	25447	16683
604	25484	16638
605	25526	16596
606	25569	16554
607	25604	16508
608	25640	16462
609	25684	16420
610	25720	16375
611	25760	16331
612	25802	16289
613	25843	16246
614	25882	16202
615	25921	16159
616	25964	16117
617	26000	16071
618	26041	16028
619	26080	15984
620	26122	15942
621	26158	15896
622	26195	15852
623	26228	15804
624	26273	15764
625	26314	15721
626	26350	15675
627	26389	15632
628	26429	15588
629	26469	15545
630	26508	15502
631	26549	15459
632	26587	15414
633	26626	15371
634	26666	15328
635	26708	15285
636	26752	15245
637	26788	15199
638	26825	15155
639	26868	15113
640	26905	15068
641	26944	15024
642	26980	14979
643	27023	14938
644	27065	14896
645	27102	14851
646	27140	14807
647	27183	14766
648	27222	14722
649	27261	14679
650	27300	14635
651	27344	14594
652	27386	14552
653	27427	14510
654	27466	14467
655	27512	14427
656	27553	14385
657	27591	14340
658	27635	14300
659	27674	14256
660	27715	14213
661	27754	14170
662	27791	14126
663	27830	14082
664	27874	14041
665	27914	13999
666	27952	13955
667	27992	13912
668	28029	13867
669	28069	13825
670	28112	13784
671	28157	13743
672	28197	13700
673	28238	13658
674	28270	13611
675	28306	13567
676	28349	13525
677	28395	13485
678	28439	13444
679	28481	13402
680	28522	13360
681	28560	13317
682	28601	13274
683	28640	13231
684	28679	13188
685	28717	13144
686	28755	13101
687	28795	13058
688	28832	13014
689	28873	12972
690	28910	12928
691	28947	12884
692	28990	12842
693	29035	12802
694	29075	12759
695	29118	12718
696	29149	12671
697	29190	12629
698	29238	12590
699	29287	12551
700	29342	12515
701	29389	12475
702	29435	12435
703	29474	12392
704	29514	12350
705	29553	12306
706	29587	12262
707	29626	12218
708	29658	12172
709	29689	12126
710	29731	12084
711	29766	12040
712	29798	11994
713	29830	11948
714	29872	11907
715	29905	11861
716	29937	11816
717	29971	11771
718	30013	11729
719	30054	11687
720	30087	11642
721	30130	11601
722	30170	11559
723	30219	11520
724	30259	11477
725	30302	11436
726	30348	11396
727	30396	11357
728	30431	11312
729	30482	11274
730	30527	11233
731	30571	11192
732	30617	11152
733	30652	11108
734	30694	11066
735	30734	11024
736	30781	10984
737	30822	10942
738	30860	10899
739	30898	10856
740	30939	10814
741	30979	10771
742	31027	10732
743	31078	10693
744	31115	10650
745	31157	10608
746	31200	10567
747	31245	10526
748	31284	10483
749	31330	10443
750	31383	10405
751	31423	10362
752	31462	10320
753	31508	10279
754	31552	10239
755	31597	10198
756	31638	10156
757	31681	10114
758	31721	10072
759	31765	10031
760	31807	9989
761	31852	9948
762	31889	9905
763	31931	9863
764	31977	9823
765	32018	9781
766	32057	9738
767	32099	9696
768	32143	9655
769	32189	9615
770	32235	9574
771	32277	9532
772	32322	9491
773	32367	9450
774	32413	9410
775	32455	9368
776	32498	9327
777	32540	9285
778	32585	9244
779	32627	9202
780	32669	9160
781	32716	9120
782	32760	9079
783	32806	9038
784	32853	8998
785	32895	8956
786	32937	8914
787	32980	8872
788	33023	8831
789	33067	8790
790	33110	8748
791	33153	8707
792	33196	8665
793	33239	8623
794	33284	8582
795	33328	8541
796	33371	8499
797	33415	8458
798	33460	8417
799	33502	8375
800	33546	8334
801	33591	8293
802	33634	8251
803	33677	8209
804	33719	8168
805	33765	8127
806	33809	8085
807	33855	8044
808	33902	8004
809	33944	7962
810	33988	7920
811	34032	7879
812	34073	7837
813	34117	7795
814	34159	7754
815	34205	7713
816	34248	7671
817	34292	7629
818	34339	7589
819	34385	7548
820	34426	7505
821	34472	7464
822	34515	7423
823	34558	7381
824	34601	7339
825	34648	7298
826	34692	7257
827	34736	7215
828	34779	7174
829	34826	7133
830	34867	7090
831	34914	7050
832	34957	7008
833	35001	6966
834	35045	6925
835	35091	6883
836	35134	6842
837	35178	6800
838	35220	6758
839	35258	6715
840	35297	6673
841	35342	6631
842	35381	6589
843	35421	6547
844	35462	6504
845	35508	6463
846	35549	6421
847	35594	6380
848	35635	6337
849	35682	6296
850	35725	6255
851	35767	6213
852	35820	6173
853	35864	6131
854	35911	6090
855	35958	6049
856	36001	6007
857	36046	5965
858	36091	5924
859	36138	5883
860	36181	5841
861	36227	5799
862	36272	5758
863	36316	5716
864	36360	5674
865	36406	5633
866	36450	5591
867	36490	5549
868	36536	5507
